Date,USD_PKR_Rate,Open_USD_per_oz,High_USD_per_oz,Low_USD_per_oz,Close_USD_per_oz,Open_PKR_per_oz,High_PKR_per_oz,Low_PKR_per_oz,Close_PKR_per_oz,Open_PKR_per_tola,High_PKR_per_tola,Low_PKR_per_tola,Close_PKR_per_tola,Volume,Close_PKR_per_gram,Close_USD_per_gram,Daily_Return_PKR,Price_Change_PKR,Daily_Return_USD,Price_Change_USD,Exchange_Rate_Change,Daily_Return,Price_Change
2020-11-29 21:30:06.374644,158.9354437346086,1811.0810154413,1839.419957997786,1799.178871064937,1822.5721544452929,287844.9648284886,292349.02723867324,285953.292230638,289671.31410510425,107941.8618106832,109630.88521450246,107232.48458648924,108626.7427894141,37149,9312.992351630151,58.59701173325487,,,,,,,
2020-11-30 21:30:06.374644,160.26438063015,1802.1066548315848,1834.164901457712,1781.7745829004357,1798.4033467364766,288813.50686605537,293951.3019056803,285554.99995108217,288219.9984879103,108305.06507477076,110231.73821463012,107083.1249816558,108082.49943296638,46853,9266.332255912755,57.81996710133832,-0.5010215187090772,-544.2433564477251,-1.3260823528916554,-24.168807708816303,0.8361488566140274,-0.5010215187090772,-544.2433564477251
2020-12-01 21:30:06.374644,162.4605343971641,1787.940883639737,1802.817445748477,1779.652590408281,1780.334107176731,290469.83142664947,292886.685656828,289123.3108790267,289234.0304574298,108926.18678499357,109832.5071213105,108421.241579635,108462.76142153618,43613,9298.93359238136,57.23902799288605,0.3518256799803554,380.2619885698077,-1.0047378744337476,-18.069239559745483,1.3703317969838258,0.3518256799803554,380.2619885698077
2020-12-02 21:30:06.374644,160.78823591118743,1800.6564984378097,1806.2104583869304,1776.2989653869283,1802.5975780180247,289524.3818658312,290417.39328837174,285607.9770954316,289836.4846272973,108571.6431996867,108906.5224831394,107102.99141078684,108688.68173523647,33188,9318.302617904365,57.95481466773917,0.20829297607707353,225.92031370029144,1.2505220650184112,22.26347084129361,-1.029356755584987,0.20829297607707353,225.92031370029144
2020-12-03 21:30:06.374644,164.2010751102447,1776.7458979424086,1787.360566579762,1763.0602422237528,1775.5399038484604,291743.5866398606,293486.526642053,289496.3872572686,291545.56111305766,109403.84498994771,110057.44749076988,108561.14522147572,109329.58541739662,20519,9373.249778583388,57.0848908916508,0.5896692019150329,640.9036821601476,-1.5010379742834479,-27.05767416956428,2.1225677237620477,0.5896692019150329,640.9036821601476
2020-12-04 21:30:06.374644,162.14278711937231,1807.6668533586992,1838.7239299328733,1790.5871700458697,1806.2907647612603,293100.1417868852,298135.8227424016,290330.79433142673,292877.01894637325,109912.55317008193,111800.93352840058,108874.04787428502,109828.88210488996,46076,9416.056421887,58.07355329018472,0.45668945472272515,499.2966874933336,1.7319160693684,30.750860912799908,-1.253516756507489,0.45668945472272515,499.2966874933336
2020-12-05 21:30:06.374644,162.19644821605132,1808.632909506584,1816.483353432624,1794.0279623327904,1807.1527406595765,293353.8340486309,294627.1481703539,290984.9634906585,293113.7559188862,110007.6877682366,110485.18056388272,109119.36130899694,109917.65846958233,32497,9423.667564264602,58.10126643816858,0.080831529003067,88.77636469237041,0.047720772044690385,0.8619758983161319,0.033094963786139964,0.080831529003067,88.77636469237041
2020-12-06 21:30:06.374644,157.6175200118108,1847.0785070457136,1850.7445057547216,1833.8284475436017,1848.289304935364,291131.93354766344,291709.75917254377,289043.4920289316,291322.7765082656,109174.47508037378,109391.15968970393,108391.30951084931,109246.0411905996,8133,9366.087207698867,59.42383670440188,-0.611018546368125,-671.6172789827251,2.2763191704965324,41.13656427578758,-2.8230755078811787,-0.611018546368125,-671.6172789827251
2020-12-07 21:30:06.374644,160.6683544958124,1823.4230400498825,1823.4649793044157,1777.5577419543815,1815.503778552251,292966.3793945664,292973.117705581,285597.2774211024,291694.00468092,109862.3922729624,109864.91913959288,107098.9790329134,109385.251755345,47862,9378.022269834106,58.36975834077358,0.12742847541955538,139.21056474540092,-1.7738308767771271,-32.78552638311294,1.9355935074812702,0.12742847541955538,139.21056474540092
2020-12-08 21:30:06.374644,161.8481557257958,1844.760574623698,1858.3502654037677,1832.9020302548377,1846.2161785161256,298571.0967585048,300770.56314814294,296651.8132228123,298806.68356396153,111964.1612844393,112788.9611805536,111244.42995855464,112052.50633648556,30096,9606.696359438063,59.35718419200816,2.438404207457734,2667.254581140558,1.691673701079588,30.71239996387453,0.734308404219175,2.438404207457734,2667.254581140558
