Date,Open_PKR_per_tola,High_PKR_per_tola,Low_PKR_per_tola,Close_PKR_per_tola,Volume,Close_PKR_per_gram
2020-11-29 20:52:06.705843,181947.95849106912,186583.32689794604,179790.38172406988,183295.86791833316,49486,15714.666316729523
2020-11-30 20:52:06.705843,177794.1524218604,180673.732265179,175543.92836297947,178323.6656787541,32716,15288.380116491264
2020-12-01 20:52:06.705843,179615.53053960786,179798.6543406324,178002.87573814887,178546.2271677128,35305,15307.461176930108
2020-12-02 20:52:06.705843,177260.2862222599,178828.72200914257,173236.2290249164,176870.73695263147,42431,15163.814896487609
2020-12-03 20:52:06.705843,182086.7288550123,182716.87464165446,180083.22417012276,180528.31949414982,29284,15477.393646617784
2020-12-04 20:52:06.705843,178586.13104995008,178879.81570362762,176619.00878955796,177559.88717658108,14863,15222.898420488777
2020-12-05 20:52:06.705843,181680.999487487,182388.75971640652,180006.74538176745,180953.69392149107,42312,15513.862647590113
2020-12-06 20:52:06.705843,181821.59846025473,183037.5836872375,179026.74135568878,181726.87309322838,11841,15580.15029948803
2020-12-07 20:52:06.705843,181499.54580381638,185693.29774206484,181499.54580381638,183212.652415226,39848,15707.531928603054
2020-12-08 20:52:06.705843,178714.70222302867,180993.61069904073,178083.89254108383,179335.5892638697,38323,15375.13625376112
2020-12-09 20:52:06.705843,189068.4398568979,190889.44285590388,186338.59378382223,187627.68331461094,27288,16086.049666890513
2020-12-10 20:52:06.705843,183846.9013719506,186976.51373622258,183309.29823987407,184787.15833969327,33425,15842.520433787146
2020-12-11 20:52:06.705843,185810.10713922253,186700.74484592106,184221.59922701822,185397.6605148817,47027,15894.861155253917
2020-12-12 20:52:06.705843,183834.45293629018,185383.01525835317,182301.7802535767,183779.55474317202,37423,15756.13466590981
2020-12-13 20:52:06.705843,186859.08987622045,187845.4882240638,185272.3442547151,186170.87903618737,19380,15961.152180743087
2020-12-14 20:52:06.705843,191330.5039220829,191692.88862813133,189731.3545343299,190633.04005044146,32394,16343.710566738808
2020-12-15 20:52:06.705843,191535.0152051528,191535.0152051528,188987.62667291018,190025.79393021733,39472,16291.64899950423
2020-12-16 20:52:06.705843,190826.66447197812,192366.46042060116,187830.0261218606,191242.6709265628,21144,16395.97658835415
2020-12-17 20:52:06.705843,195108.15127997065,196562.35447814505,192470.36415409113,194108.87567578116,8979,16641.707448197973
2020-12-18 20:52:06.705843,190409.0471828013,190788.04614190807,189166.80372619274,190273.7052706424,29678,16312.903401118174
2020-12-19 20:52:06.705843,188411.3273731711,191367.48372590763,188411.3273731711,189640.07783098292,14351,16258.580060955326
2020-12-20 20:52:06.705843,192272.68162062735,192644.0608841581,189631.5132844235,192052.56717031164,21258,16465.412137372397
2020-12-21 20:52:06.705843,189862.94337753768,191282.82715117422,188403.12854764413,190118.0608428,34448,16299.559400102882
2020-12-22 20:52:06.705843,186599.7201733804,190234.1646314843,186599.7201733804,187786.26380621103,17062,16099.645388049643
2020-12-23 20:52:06.705843,195729.9107011932,197982.47019049677,194683.68214464412,195290.39787104528,29213,16743.003932702784
2020-12-24 20:52:06.705843,197735.70203224098,197735.70203224098,194240.0151105869,196335.27460007972,5991,16832.5852709259
2020-12-25 20:52:06.705843,196847.47272733098,198779.80932051328,195353.73805673356,196593.78520891358,9257,16854.748388967215
2020-12-26 20:52:06.705843,191815.67939568454,192825.01305661091,190491.8622791983,192628.57946466326,39393,16514.79590746427
2020-12-27 20:52:06.705843,195518.85241014932,198469.2032579041,191937.24377507842,195189.46466231154,47397,16734.350536892278
2020-12-28 20:52:06.705843,197730.80336810419,197911.87461855446,195519.02994386846,197266.14602075255,22442,16912.392491491133
2020-12-29 20:52:06.705843,195724.06751858362,197219.88415114008,194616.66852626292,195631.45525168904,17093,16772.24410594042
2020-12-30 20:52:06.705843,199731.05456265443,202891.50210102848,199731.05456265443,201062.6462075349,8570,17237.88119063228
2020-12-31 20:52:06.705843,197877.67433786058,199690.63534275323,197794.64658143054,198751.78628907318,8630,17039.762198994613
2021-01-01 20:52:06.705843,201893.53743645374,201893.53743645374,197596.3073229142,199576.1097705039,22337,17110.4346511063
2021-01-02 20:52:06.705843,199278.33194459951,202962.37682658085,197683.4800966441,200294.96182303212,9022,17172.064628174907
2021-01-03 20:52:06.705843,200585.39917304966,200641.87565278148,199815.90698153994,200251.0046720874,8072,17168.29601098143
2021-01-04 20:52:06.705843,192272.98211698863,192272.98211698863,190773.70753983577,191187.45402684688,37027,16391.242629187833
2021-01-05 20:52:06.705843,196588.05159547983,197973.59197175177,195140.74722151266,197079.73864029237,8841,16896.411063125204
