Date,USD_PKR_Rate,Open_USD_per_oz,High_USD_per_oz,Low_USD_per_oz,Close_USD_per_oz,Open_PKR_per_oz,High_PKR_per_oz,Low_PKR_per_oz,Close_PKR_per_oz,Open_PKR_per_tola,High_PKR_per_tola,Low_PKR_per_tola,Close_PKR_per_tola,Volume,Close_PKR_per_gram,Close_USD_per_gram
2020-11-29 21:30:06.374644,158.9354437346086,1811.0810154413002,1839.419957997786,1799.178871064937,1822.5721544452929,287844.9648284886,292349.02723867324,285953.292230638,289671.31410510425,107941.86181068321,109630.88521450246,107232.48458648924,108626.7427894141,37149,9312.992351630153,58.59701173325487
2020-11-30 21:30:06.374644,160.26438063015,1802.1066548315846,1834.1649014577117,1781.7745829004357,1798.4033467364766,288813.50686605537,293951.3019056803,285554.99995108217,288219.9984879103,108305.06507477077,110231.73821463011,107083.12498165581,108082.49943296638,46853,9266.332255912755,57.81996710133832
2020-12-01 21:30:06.374644,162.4605343971641,1787.940883639737,1802.817445748477,1779.652590408281,1780.3341071767313,290469.83142664947,292886.685656828,289123.3108790267,289234.0304574298,108926.18678499355,109832.5071213105,108421.24157963501,108462.76142153618,43613,9298.93359238136,57.23902799288605
2020-12-02 21:30:06.374644,160.78823591118743,1800.6564984378097,1806.2104583869304,1776.2989653869283,1802.5975780180252,289524.3818658312,290417.39328837174,285607.9770954316,289836.4846272973,108571.6431996867,108906.5224831394,107102.99141078684,108688.68173523649,33188,9318.302617904363,57.954814667739164
2020-12-03 21:30:06.374644,164.2010751102447,1776.7458979424086,1787.360566579762,1763.0602422237528,1775.5399038484604,291743.5866398606,293486.526642053,289496.3872572686,291545.56111305766,109403.84498994771,110057.44749076988,108561.14522147572,109329.58541739662,20519,9373.249778583388,57.084890891650794
2020-12-04 21:30:06.374644,162.14278711937231,1807.6668533586992,1838.7239299328735,1790.5871700458695,1806.2907647612603,293100.14178688516,298135.82274240156,290330.79433142673,292877.01894637325,109912.55317008193,111800.93352840058,108874.04787428502,109828.88210488997,46076,9416.056421887,58.07355329018472
2020-12-05 21:30:06.374644,162.19644821605132,1808.632909506584,1816.4833534326242,1794.0279623327904,1807.1527406595765,293353.8340486309,294627.1481703539,290984.9634906585,293113.7559188862,110007.68776823659,110485.18056388272,109119.36130899694,109917.65846958233,32497,9423.667564264602,58.10126643816858
2020-12-06 21:30:06.374644,157.6175200118108,1847.0785070457139,1850.7445057547218,1833.8284475436017,1848.2893049353638,291131.93354766344,291709.75917254377,289043.49202893156,291322.7765082656,109174.47508037378,109391.15968970391,108391.30951084933,109246.04119059959,8133,9366.087207698867,59.42383670440188
2020-12-07 21:30:06.374644,160.6683544958124,1823.4230400498823,1823.4649793044155,1777.5577419543815,1815.503778552251,292966.3793945664,292973.117705581,285597.2774211024,291694.00468092,109862.3922729624,109864.91913959288,107098.9790329134,109385.251755345,47862,9378.022269834106,58.36975834077358
2020-12-08 21:30:06.374644,161.8481557257958,1844.760574623698,1858.3502654037675,1832.9020302548379,1846.2161785161256,298571.0967585048,300770.56314814294,296651.8132228123,298806.68356396153,111964.1612844393,112788.9611805536,111244.42995855463,112052.50633648557,30096,9606.696359438063,59.357184192008155
2020-12-09 21:30:06.374644,160.49469892293064,1826.9074363585237,1874.3295864116408,1826.8852438338358,1844.9157297055579,293208.95895842434,300819.9626534774,293205.3971758562,296099.1945772724,109953.35960940912,112807.48599505401,109952.02394094609,111037.19796647715,5531,9519.65003141951,59.315373823060355
2020-12-10 21:30:06.374644,163.28265770393733,1860.7727671955406,1860.7727671955406,1819.6028509796724,1846.8545508748402,303831.92281079775,302625.3140163778,297109.5894736223,301559.31945945544,113936.97105404915,113936.97105404915,111416.09605260837,113084.74479729579,25393,9695.19416986418,59.377708324620706
2020-12-11 21:30:06.374644,159.7436960089444,1856.610539065622,1887.1294314236338,1856.610539065622,1856.7970253133535,296581.82955950114,301457.03022286907,296589.0271816831,296611.6195619686,111218.18608481293,113046.38633357591,111218.18608481293,111229.35733573823,14476,9536.124600114732,59.69736606212656
2020-12-12 21:30:06.374644,162.71550434508697,1873.8935767329838,1877.0957091280416,1853.972507886748,1868.37076122384,304911.53842712636,305432.57501476794,301670.0716627179,304012.89071615116,114341.82691017239,114537.21563053798,113126.27687351921,114004.83401855669,9850,9774.076990617,60.06947003468548
2020-12-13 21:30:06.374644,163.17947020967236,1856.847377643198,1889.0440912246095,1844.533096609639,1866.8284134179537,302999.3713440364,308253.21400874376,300989.9334889673,304628.0714739049,113624.76425401366,115594.95525327891,112871.22505836273,114235.52680271433,37409,9793.855178559184,60.01988243824501
2020-12-14 21:30:06.374644,164.48868615435322,1831.4351067166906,1857.5899260033143,1829.2610263329605,1829.938337552184,301250.35448078613,305552.5263418474,300892.74285487237,301004.1528874401,112968.8829302948,114582.19737819277,112834.77857057714,112876.55733279005,15097,9677.345450342083,58.83383984285319
2020-12-15 21:30:06.374644,162.6766431559333,1859.4965229335116,1907.4913525498616,1859.4965229335116,1885.7696503302247,302496.65231095365,310304.29008178244,304223.90439525235,306770.6764810591,113436.24461660761,116364.10878066841,113436.24461660761,115039.00368039717,26875,9862.740370404423,60.62885689167536
2020-12-16 21:30:06.374644,160.2995268659093,1876.146507949375,1889.6242284039022,1848.962119727652,1872.0570314879585,300745.3975554128,302905.86976750445,296387.7529853314,300089.8564135184,112779.5240832798,113589.70116281416,111145.40736949927,112533.69615506941,23925,9647.950630578653,60.18798628732967
2020-12-17 21:30:06.374644,162.0507436005058,1924.4948335773677,1925.913487995622,1897.0568887507943,1919.28141561147,311865.81883654406,312095.71283993433,307419.4794745282,311020.98057847016,116949.68206370402,117035.89231497538,115282.30480294809,116632.86771692631,47009,9999.388521684356,61.70628436064977
2020-12-18 21:30:06.374644,167.20035684819038,1881.5697500615474,1900.2319716471197,1865.5790760406308,1879.3620472701448,314599.1336450511,317719.4637537388,311925.4872425108,314230.00495051383,117974.67511689416,119144.79890765205,116972.05771594154,117836.25185644269,24492,10102.55931553864,60.422847823239984
2020-12-19 21:30:06.374644,167.51948217733988,1904.7216831025792,1922.1717372218193,1879.260632924759,1897.1557536898745,319077.99004529533,322001.21407531697,314812.7681038156,317810.5494678887,119654.24626698575,120750.45527824387,118054.78803893086,119178.95605045828,35620,10217.674558509798,60.99492834214395
2020-12-20 21:30:06.374644,164.48697960731496,1933.1818438866655,1947.3597212046693,1908.4877532402654,1935.4279832880839,317983.24253261747,320315.318749899,313921.3861480419,318352.7032185338,119243.71594973156,120118.24453121211,117720.51980551571,119382.26370695017,15579,10235.104913147305,62.22540817876071
2020-12-21 21:30:06.374644,164.36751005289725,1945.7327928997067,1958.9200848956102,1928.243538836361,1937.1989077856415,319815.25439719437,321982.81674690155,316940.5892541197,318412.560949918,119930.72039894789,120743.55628008809,118852.7209702949,119404.71035621925,27034,10237.029351527714,62.28234468100508
2020-12-22 21:30:06.374644,164.96891040848564,1931.0577382426247,1965.3602274187372,1927.8964193854993,1938.2454098013138,318564.4910137605,324223.3352774426,318042.9716864467,319750.2333591715,119461.6841301602,121583.75072904097,119266.11438241751,119906.3375096893,10774,10280.03579472645,62.31599047699821
2020-12-23 21:30:06.374644,167.35285864730827,1948.0132981617137,1963.0616594558971,1918.8938601796701,1939.3079181712023,326005.59413033404,328523.98041087313,321132.3729418361,324548.7239033109,122252.09779887527,123196.49265407742,120424.63985318854,121705.77146374158,33394,10434.308253064264,62.350150888845384
2020-12-24 21:30:06.374644,164.54163752142856,1904.7359522452875,1908.6720347836404,1883.1653976222476,1898.6125705676316,313408.37262837717,314056.02209465724,309859.11824845674,312400.8213799669,117528.13973564144,117771.00828549647,116197.16934317128,117150.3080174876,25405,10043.750687370335,61.04176605744149
2020-12-25 21:30:06.374644,166.42352023803926,1933.6714200961446,1939.823002394226,1915.2769788123962,1928.9750655271316,321808.40471608884,322832.17269716953,318747.1370448355,321026.8208564277,120678.15176853331,121062.06476143858,119530.17639181331,120385.05782116039,38639,10321.078345435562,62.01794220994845
2020-12-26 21:30:06.374644,168.7408521720452,1892.928682476695,1901.6664837569654,1890.057181980373,1896.3108822324027,319414.3989820243,320888.8230161671,318929.85954126244,319985.1142510185,119780.3996182591,120333.30863106265,119598.69732797341,119994.41784413194,39524,10287.587263728732,60.96776511429269
2020-12-27 21:30:06.374644,168.04447165813107,1902.7452812537135,1929.2264295485506,1898.0007004859765,1907.5541643972647,319745.8254882823,324195.83606238884,318948.5249199286,320553.93171540607,119904.68455810586,121573.43852339582,119605.69684497322,120207.72439327728,47527,10305.874862249424,61.32924476014804
2020-12-28 21:30:06.374644,164.2452924568923,1933.0078041403842,1933.0078041403842,1910.6792465635076,1920.0791310671275,317487.43211249256,315974.89420130284,313820.0716431379,315363.958422496,119057.7870421847,119057.7870421847,117682.52686617672,118261.484408436,9218,10139.016152986625,61.731931488968364
2020-12-29 21:30:06.374644,165.7967348001865,1905.2461996263742,1928.1217370565869,1898.1690157686128,1918.4261615838032,315883.5988885171,319676.28830124583,314710.2249133197,318068.79354584956,118456.34958319392,119878.6081129672,118016.33434249488,119275.79757969358,17631,10225.97715875288,61.678787325664416
2020-12-30 21:30:06.374644,166.3710329868894,1925.1103364238134,1961.7107413669657,1911.4587252704046,1931.1401636754551,320282.595284568,326371.8424626987,318011.36263504,321285.7838731561,120105.973231713,122389.44092351201,119254.26098814001,120482.16895243354,10728,10329.404059707951,62.087551679889884
2020-12-31 21:30:06.374644,165.49773797154387,1896.9079668298116,1905.089389275931,1890.6107836489637,1893.3314997963837,313933.9776505342,315287.9845587565,312891.8080785114,313342.0804465721,117725.24161895033,118232.9942095337,117334.42802944177,117503.28016746455,21303,10074.012360036399,60.8719758161102
2021-01-01 21:30:06.374644,168.88581704241466,1864.1737006231274,1868.4591994950054,1843.577127183278,1854.059180272541,314832.49853871856,315556.25851713005,311354.0294050555,313124.29950531764,118062.18695201946,118333.59694392377,116757.76102689581,117421.61231449412,6400,10067.010657964174,59.60934236573186
2021-01-02 21:30:06.374644,166.48771497812393,1922.427865034364,1933.4706136624345,1889.3396638165457,1917.2563300646082,320060.6224598445,321899.1044460098,314551.84344635357,319199.6254198004,120022.7334224417,120712.16416725368,117956.94129238259,119699.85953242515,13188,10262.333636181855,61.64117639701667
2021-01-03 21:30:06.374644,167.00911737700667,1938.7826978957658,1944.8544199712692,1920.6291134105109,1926.206477392968,323794.38716138364,324808.4201061719,320762.5730392723,321694.0436752728,121422.89518551886,121803.15753981448,120285.9648897271,120635.2663782273,34592,10342.529696350077,61.92893010088794
2021-01-04 21:30:06.374644,165.64209059469908,1939.3922201050516,1939.3922201050516,1913.7136294450165,1921.322298422693,321244.9818212955,319971.1681822941,316991.5263808418,318251.8422169472,120466.86818298581,120466.86818298581,118871.82239281567,119344.4408313552,19766,10231.862211193004,61.77190021774697
